,comments,label,x,y
110,Current temp in Wyong and Jilliby is recorded at between 35c and 36c. Weather site shows 26c.,4,7.974940299999999,1.5277051000000001
111,I like the presentation of the weather on my mobile. I was unable to download the app onto my phone because it is not easy to do.,2,-9.297191999999999,23.426378
112,Cecelia,4,-5.5981,3.5570273
113,You are,4,-1.8500834,-0.37621918
114,Hi rbtbe,4,2.4630813999999996,15.006776
115,Werecth,4,-5.3597529999999995,-3.7035620000000002
116,"Hi
Love the app, but the favourite locations and recently viewed don't seem to work. Saving a location as a favourite doesn't do anything at all, and my recently viewed locations don't look like locations I've ever viewed.",0,2.1914982999999997,21.308025
117,U,4,7.7840185,-6.8966823
118,Get real guys! Were cooking here. Even accu weather says its 30. Which forest do you have your thermometer in. YOU are dupposed to be the scientists.,4,2.349459,7.1825695000000005
119,O,4,-1.4570737,-0.888009
120,Hi,4,2.8029973999999998,15.490673000000001
121,Could we have polen counts included local sites,3,10.14715,4.5922529999999995
122,Gangplank,4,-0.562154,4.099226
123,why is site saying we have received rain at vineyard when we have not had a drop.could you tell me why every storm passes over us? is it because of clay pan,4,-16.243614,-3.818379
124,Pi Li piu Lu Lu I iy u piu,4,6.833400999999999,-5.5170083
125,Ouiikg,4,-3.2492602,3.968768
126,I will send a picture of you,4,-8.486906,-12.208224000000001
127,88,4,0.458762,-1.2811913000000001
128,Aizteetzo I i7 few a88sjufai77grewazuuzujoiI'llhby wiBeg 8888fo I ki Kyl Orting o Owosso Oulu in 9kioiua le 97t it UII1vaIiK on I ui I'm I 8z tweet rno I 7t out it oiia94 i8  wllKY i Uitk98n i97i,5,4.644475,4.1224966
129,"When using the ""my location"" option, it now only works intermittently...sometimes it is ok...other times it asks for the postcode. When it fails, a message in red appears advising an error has occurred. Is there a fix for this please?

Thanks

Peter Wortley",0,-4.719739,6.674374
130,Today O,4,8.926832000000001,9.922596
131,cxg,4,-2.0908139,-5.097432599999999
132,"I am wondering why the radar for Armidale NSW is Newcastle radar when Armidale is not even on that radar screen.
Could you consider trialling the Namoi radar for Armidale? At least Armidale appears on the Namoi radar and most Armidale weather emanates from there - not Newcastle.",1,11.777329,-9.999039
133,T,4,0.10608029,-1.8281682000000001
134,MwhghsAthtbhh2wthht,4,3.129223,0.025220841
135,8888880808,4,-1.4541421,-2.1759887000000004
136,I am unable to get appropriate radar coverage map for Launceston region - defaults to SE Tasmania,1,-22.670788,-1.3235408000000002
137,The current location selection on the mobile website is not working.,0,5.8209963,-15.241837
138,Jikkikukki kio,4,-1.8119572,5.815842
139,A suggestion... on the mobile forecast maybe Monday to Sunday forecaats could include a date?,3,11.362508,5.3561773
140,"I attempted to download the BOM weather app on my IPad- the icon has appeared on my screen but it does not work. When I try to use it, it briefly brings up a page and then switches back to the icon. Can you tell me what I have to do to make it work.?",2,-3.0960937000000004,12.000513
141,Miiucac,4,2.8973937000000003,1.8335199
142,"Using Moss Vale weather for Barrengarry is very inaccurate.At present we are 3 deg warmer than your  estimate.At times we can be 8 deg warmer.Altitude and topography.Frosts also less frequent and less severe.
Bryan Barger",4,-3.9878980000000004,6.631781
143,Can you explain why the dam storage level information for Victoria has not been updated for over two weeks?,4,-12.502253,-5.1900945
144,Location services will not work on where the default setting is to ask permission first... the recmended default,0,1.1760719,19.913103
145,"MNM.

MNM
.. MN",4,3.1698402999999997,-1.892137
146,How is your rain measured? I work in Kingston and it had been raining on and off all day. We live in Gundaroo and have had 15mm today in our rain gauge and 15mm yesterday? And yet you report only 1.2mm? How is that possible?,4,-18.522871,-7.201189500000001
147,"Very good,timely imformation",4,19.92672,9.918109
148,"Why, when I look at a current day's forecast early in the morning, don't I get a predicted rainfall for the rest of the day? Remy van de Ven",4,-9.791802,13.849773
149,The,4,-0.5373186,-1.8067296999999998
150,Where is the BoM mobile app?,2,16.238274,2.1296496
151,Can we get a station out Pakenham way? Ferny creek is used for us and rarely has the same weather we have. Please.....,4,2.3411171000000004,-8.997424
152,Rafetyildlrlmeue,4,3.2631482999999997,-0.59269017
153,What is weather today and tonight,4,8.660257000000001,9.916601
154,The only one that is,4,-2.173912,-1.8347603
155,D,4,-2.301949,0.94224894
156,Perisher needs a visibility feature to indicate the snow white-out.,4,-21.25251,7.887398200000001
157,Every day i look at the weather.weather = job and business.,4,-13.087925,5.9461985
158,Hi this is Alison,4,2.4622831,15.005947
159,Is it possible to have the option to add 'weather observations' to locations??,0,3.9587605000000003,-19.176904999999998
160,Why is the wind info so different between front screen and next 24 hours part,3,-5.3071904000000005,-18.662537
161,I ttt t6yyyy6GT y mi iPhone you cannot use t same as a referencehe double check 6t it guy o,4,17.117113,-6.56798
162,Yijhhdhdhdnejsndhe,4,1.8641468,0.098122925
163,How come the BOM doesn't have an app?,2,16.100542,3.2596066
164,"Excellent,but what about wind over next few days?",3,25.381027,1.854816
165,You need to fix it,4,-21.32077,8.188799000000001
166,"At 11:10am your forecast at 11am for chance of rain in Perth between 11am-2pm was 0%, 
It was pissing down when I read that, 0%, do you understand what 0% means, that's absolute, now for the meaning of absolute, to put it in to context, it is the type of cock you are. Please pass this on to the tool which it concerns.",4,11.880085000000001,8.552781
167,Use current location does not work after google update even though location services are on it always says this page does not have permission the use your location.,0,-3.3640697,20.728165
168,What does utc stand for on your radar map?,1,8.298502000000001,14.722134
169,Shows rain above on radar. But not raining! Glendale NSW,1,-15.151457999999998,-3.215576
170,Date & time on rain radar map is incorrect 0700 12/04/2016. Date & time below map is correct.,1,17.033285,12.552743
171,"Hi
Just using mobile site 'm.bom.gov.au' with location set to Launceston 7250, however the Hobart radar displays rather than the NW Tas one that should.
Regards
Glenn Bate",0,-22.88274,-3.3885372000000005
172,Past 24 hours not working.,4,5.431995,-13.351054999999999
173,Cessnock NSW is showing incorrect postcode - should be 2325.,4,-12.532988000000001,0.67327857
174,Ooooo,4,-7.409388000000001,-1.8511258000000002
175,Hygt,4,1.9866758999999998,-1.2445741000000001
176,"Love seeing a forecast for Narrogin on my phone, but very disappointed when I'm reminded that the data is for Wandering which has different weather from us.  Since Narrogin is the Regional town for this large agricultural area could we please have our own data showing on our handy devices?",4,-8.923430999999999,-5.632492500000001
177,I'm at,4,-0.5936045999999999,-0.07817104
178,Still waiting for the rain you forecast last week and again this morning?,4,-6.870961,13.5662
179,"Hi, current temperature at Warners bay nsw has been way out for a few weeks. Eg currently sat 3pm showing 25degrees when it's about 32 outside.",4,-8.2074,17.302267
180,Q,4,-0.49677864,-4.174201999999999
181,Maey,4,3.7262782999999997,-3.5252311
182,I'm in,4,-2.70627,-1.4667629
183,Am located in companhurst Nsw 2460. Lately radar says it is raining when it is not. Has happened a few times now,0,-15.225725,-2.4852357000000005
184,P8llll87 l,4,-2.4294965,-9.122371000000001
185,sdfdsf,4,0.48362200000000005,12.077401
186,sdfdsf,4,0.48351684,12.077736
187,fdsdsf,4,-6.0690527,1.4029908000000002
188,Jdjdj,4,-5.872999999999999,-1.6849936
189,I live in Maribyrnong so I type in Maribyrnong suburb for my weather but if I use the locate button it picks Footscray as my local weather and they are both different obviously I'm not in Footscray.,0,1.7797049999999999,8.354607000000001
190,"Radar won't work, has ?",1,14.983832000000001,-15.572220000000002
191,sfasf,4,-1.1611308,5.7985697
192,Radar is not working anymore. What can I do?,1,6.5159097,-13.598670000000002
193,Needs to show map features,1,-23.443707,7.7929015
194,"This app is A1.Thanks

Pete",2,14.684406,-0.43084609999999995
195,Is this site available as an App?,2,8.423664,-24.32116
196,"Hi,

Why does them mobile bom site show different weather prediction (max & min temp) to the full site at the same time?

Don",4,-7.4130087,8.486765
197,"My location is at Ninderry,4561. The radar map that goes with this location does in fact not cover this locality. Ninderry is off the map to the north. Entering Eumundi, 4562 as a location does give a radar map that covers Ninderry.",0,7.5152396999999995,15.7466955
198,dsfsd,4,0.17595345,-3.2730017000000005
199,"Question. How come your mobile site, & beta website, both give the days max of 25 degrees for Ulladulla while the Elders weather site gives it as 22 degrees. Both sources are of the BOM, obviously different databases. Colin",4,8.265367999999999,-0.09997113
200,..,4,-2.9501642999999995,-0.08264094599999999
201,The date on the radar page of the mobile app is today but on the actual radar image is 12 hrs ago?,1,13.0024605,-18.32949
202,O I u,4,7.7840185,-6.8966823
203,Newman forecast page cites is source station as Barimunya Airport locate 95 on away. Why would it not source Newman airport 25km away?,4,2.7627373,-10.403487
204,Doing itIii iioi,4,0.8763888000000001,2.1117619999999997
205,Where do I find the uv ratings? It does not show up on the app information,2,12.470332,2.1501565
206,Why is weather forecast and rainfall prediction different between mobile site and internet site?,4,2.6011724,10.314032000000001
207,Current mobile weather for Perth is showing 'tomorrow' and 'Saturday'. The current day is Friday (currently 19:25 15/1/16) with tomorrow being Saturday.,4,-5.7584643,17.383210000000002
208,"The radar only shows hobart
I live in the north of the state?",1,9.83486,-10.531753
209,Just loaded up and it has put my location as Clyde but my location is Devon Meadows.,0,-1.3924131000000002,18.718823999999998
210,"If you're on Launceston and click on radar it takes you to Mt Koonya, which doesn't even cover Launceston",1,-24.321115,-2.7173
211,"When I set Swanbourne 6010 as my favourite it does not hold it. When I shut the App down it is not there next time when open the app up again.

Apart from that App is sensational! Regards Gerald Moss",2,13.939347,0.3197199
212,This website is rubbish I live at Korumburra its telling me its 22c its actually 32c you must be taking your reading at Pound Creek 25k away on the coast. I think you need to inform people who enter their locaton you cannot provide weather readings for places away from your weather station.    John Grenville,4,4.78139,-9.431189999999999
213,Your radar site does not cover Launceston it covers the south and Hobart only,1,-24.114157000000002,-2.6999347
214,The wind speeds in the 24 hr forecast seem to be very out of Waco at te moment in the Barwon heads forecast. This has been the case yesterday and so far today. Actual winds right now day 10km/hr but the forecast says 33km/hr. Quite a descrpancy and it was the same last night.,3,22.806696,-0.47067213
215,Mm,4,-18.772274,-7.7714175999999995
216,Can you put the weather observations on the radar,1,5.147077599999999,-18.841503
217,"How can I look at the current temperature on the weather radar for city , airport etc. and wind",3,-0.5349469,-19.404095
218,3,4,-1.2257823,-0.30957603
219,"I suggest under the forecast, adding the day in bracket next to ""tomorrow"" for clearer description.

Example: Tomorrow (Sunday)",4,-8.397476,13.191865
220,"Do you have a 7 day weather widget that will work on Apple's new Operating System OS X 10.11.2
The widget I have used for 2 or 3 years allows on the State SA only to be entered and the list of Suburb's does not appear for selection.",4,-3.992349,9.904919
221,"Yep...checked the temperature 3 times in my garden and its 34C NOT 24C as your website claims.
That's a big difference guys.
Can you tell me why this happens?",4,8.10263,1.9432582999999999
222,I,4,0.6848939,-0.6639334
223,Dstsuussysheghegegeyefsgsfzygdysgegstsfscfssfsgsygsgggccfsvsgsygsgsh,4,3.8938214999999996,-4.8224797
224,it s not accurate.right now its not even cloudy and the app. shows the  thunderstorm icon,2,-3.5037322,11.441575
225,This is a test.,4,-7.589392699999999,-0.3829933
226,"Hi, just wondering why there is such a discrepancy between mobile app temps and bom.gov.au mainly for Adelaide temps.",4,-6.981578999999999,8.131288
227,Your radar site is not correct for Launceston. It only shows southern Tas,1,-25.63329,-3.1004531
228,"The weather report for Palmyra WA shows a moon sign for 'night' from 2pm,when Fremantle is showing the appropriate image.",4,2.6827137000000003,6.1269
229,I,4,-1.2909659,0.23914932
230,O,4,-2.142964,-0.99950284
231,"When savings a favourite (using 'current location') a town name cannot be added and it is only recorded as 1. Coordinates and 2. As 'recently viewed' (not a favourite). 

Also, I couldn't find a link for downloading the mobile app. Where can I find this?",0,6.9294853000000005,-9.288825
232,Needs radar map,1,-23.867506,7.6814194
233,Quite,4,3.9904782999999995,-6.13408
234,"on the graph display could you add the wind as a large dot with a small arrow showing direction using the 100% axis as kph (the dot = speed) and small arrow as direction with N vertical 
regards
Ted",5,22.906655999999998,1.1452733
235,Brill.,4,-2.4832294,-2.9156694
236,Pl,4,1.6086471000000002,4.886876999999999
237,"very useful app have now abandoned willyweather as there upgrade was atrocious
Ted",2,17.766396,-5.903025
238,I had an app for my iPhone that had this site. Now it is gone and I cannot locate the BOM app anywhere.,2,15.386941,1.1825192
239,Has an app been produced for this yet?,2,14.795886,-0.26984406
240,I live in Lismore. Your radar always shows north of us rather than the northern rivers region.,1,9.651922,-11.530982
241,The,4,-2.9970984,-0.9085975000000001
242,Sometimes the radar glitches on and off.,1,12.187689,-14.665728
243,First glance at m.bom site. Could you be consistent between today and later days and show min and max temps in same order.03,4,-10.064615,8.450167
244,"I am in Lismore, northern NSW. Each time I go to the radar, it shows the Brisbane map. Lismore is off the page to the bottom.",1,16.805270999999998,11.600743
245,Rader is still down after 2days,4,-10.820708999999999,12.089031
246,How do I show rivers/waterways on the radars on the mobile site?,1,10.149828999999999,-12.873318
247,How about making it an app?,2,-12.812907000000001,-20.81353
248,The app hasn't come onto my phone!!,2,16.040024,4.8280907
249,Iiiiiiiiiiu oLlooLlotog,4,1.5211543,-3.5979309999999995
250,0 I I,4,0.65570486,0.085753106
251,Slower step rate in the radar. Being able to control it.,1,11.699864999999999,-13.447869
252,",We",4,-2.455496,-0.38760632
253,"Site keeps defaulting to a location I viewed once. When I set a different place as my favourite, it still goes back to the old location",0,1.9067909,20.725033
254,"When in Mt Evelyn, why does it use a station 8.6km away at Ferny Creek when there is one closer at Coldstream 4.2km?",4,2.9645326,-10.851981
255,The current displays do not seem to pick up sharp showerslike yesterday. The shower was mentioned in other abc forecasts but not on this phone ap. Yesterday was Wednesday.,4,7.5988693,-3.1108372
256,Why does the BOM forecast for Mt Hotham ski resort (http://m.bom.gov.au/vic/mount-hotham/) talk about 'rain' when you plainly mean 'snow'???,4,-5.2212224,-10.630949000000001
257,it says the minimum for Smithtown will be 6 tonight but at 10.10 pm it is already down to 4.2.,4,5.426205599999999,9.004608000000001
258,"How do I get the app? It's not intuitive. Can't find it on your website, can't find it in Apple Store?!?",2,10.191562,-1.8460423
259,"Working well,I'lovit!",4,5.5537434,-13.821451000000001
260,Why not just make an app?,2,-12.812907000000001,-20.81353
261,"Your maximum temperature is supposed to be ""last 24 hours"" but it's not. It's since midnight. So at 7:40 am it's telling me 3 degrees!",4,6.895819,7.503906
262,"Found a small glitch on the mobile version of the site. Cessnock NSW shows the postcode as 2320, the actual postcode is 2325.",4,-12.4833765,0.7142339
263,You don't give sunrise /sunset times. Why?,4,20.725607,9.980701
264,Could the next 7 days forecast include wind speed and direction.,3,24.941816,2.3328189999999998
265,DaDq Ezra a aaaaa,4,1.3100261999999998,-5.4413347000000005
266,Just tried it for Armidale where I live but the radar doesn't show Armidale,1,11.589247,-9.884786
267,Mireci demondi 3G,4,-7.52619,5.552239
268,87b,4,-0.37891358,-6.426554
269,How do I get a link on my screen,4,-5.9997888,-16.70204
270,"The main page doesnt seem to have a ""possible rainfall amount"" for the current day, but it shows for all subsequent days...
The page also doesnt appear to automatically load a favourite location...",0,-13.024958999999999,11.402944999999999
271,Radar for mount coolum should default to gympie,1,-21.17009,-0.9227636
272,"Do you have your new Mobile format as an apt?
Richard",4,-1.3230975,-13.707448000000001
273,Hi pinku,4,2.4630669999999997,15.006851000000001
274,Just an idea above the expected max min temp for the day put a digital clock and the date.,4,-10.124483999999999,8.765085000000001
275,"Breautiful minke site, now just make it an app",2,-11.545594,-20.161652
276,"E.g.  Re day of month display;

Saturday  18",4,-11.914966,11.689863
277,Marine weather for this site would be very handy for all us boaties,4,-11.792566,3.5822513
278,I can't seem to zoom in very far on radar using the plus sign magnifier,1,15.463339000000001,-10.346898
279,"Why dont we get an estimate for the amount of rain ""today""",4,-15.093523999999999,-8.062232
280,"My location is Mosman, which links me to the weather station in the harbour, which, according to this website, is 6.2 kms away. The Sydney station is only 1.7 kms. Why does the ""Use my current location..."" not link me to Observatory Hill? The weather there is much closer to that experienced at Mosman than the Middle of the harbour!",0,2.082302,-11.025352999999999
281,For the location search it doesn't recognise Norfolk Island,0,-2.0269174999999997,17.152662
282,How do we download the app?,2,-9.111168,25.525671
283,You need to add uv index to the mobile weather page.,4,3.8648510000000003,5.9876356
284,How do I get railway lines to show up on the map?,4,9.240295,15.721419000000001
285,88,4,-0.84416175,0.6994169
286,128km Hobart radar not suitable for Launceston 7250 postcode. Need NW Tas West Takone 256km.,1,-25.2263,-1.6084578
287,"I don't see any reason for this ""app"" the predictions are seldom correct if ever!!",2,4.4675709999999995,10.716071000000001
288,5ww equipment can we cc wq DZ qqqqqqqx I,4,-4.056887000000001,-7.1359406000000005
289,f sbska,4,3.6644135,-4.892348
290,"Hello, 

The mobile site doesn't display the wind direction, can the wind speed in knots be removed and wind direction added

Regards Matthew",3,23.830172,2.2743971000000003
291,Iiiiiiiiii,4,-4.286416,1.7479407999999999
292,Your mobile site radar view wasn't updating this morning Wed 8am QLD time. Your full site as showing the storm.,1,-11.455002,-4.532744
293,"Why is there a large difference in your forecast numbers between your mobile app & the web version, also why can i get different numbers between using my current location & typing in the postcode without moving a step.

David",0,-7.034807000000001,-5.957407
294,Why is there a large difference of for cats,4,-7.43261,-5.55309
295,New site for mobile phone is great.well done,4,-0.50695676,-14.4918375
296,Your radar picture does not show Kalannie,1,11.547891,-14.263247
297,Thankyou for this new app! Just what I wished for,2,10.071977,20.631270999999998
298,The radar for Launceston automatically goes to Hobart. The default should be mixed graphic between the Northwest centre and Hobart.,1,-22.617714000000003,-1.7344346000000002
299,dhhdhd,4,-3.7016616,-4.7801943
300,"The Rsdar tab does NOT show rain - only the map. I have to go to the full web site to see rain.
Jim Pope",4,-15.525317000000001,-3.7997900000000002
301,The radar does not work on my phone using this site. Windows phone Nocia Lumina 800.,1,11.280014,-5.5125337
302,I have an iPhone 5 and can't work out how to set a favourite location. I have selected the star on the weather page for Hobart but it only stays as a favourite while I have the site open. Is there a way to make the favourite stick.,0,4.1678534,22.398498999999997
303,radar too fast.,1,13.762464000000001,-16.438728
304,Need to have date automatically updated when app. is accessed.,2,-11.8586,-5.718534
305,"Is it possible to include/indicate Beerburrum, Qld. on the radar?",3,9.422792,5.09202
306,How do I know when the forecast for the next day has been updated?,4,-8.917882,11.124288
307,Thunderstorms very audible at this time - 1638 AEST,4,19.22136,9.856455
308,Why isn't Warranambool on the map,4,9.09023,15.636729
309,You say in th instructions for the site that I can download an app to launch the site. What you don't explain is how or where I go about doing that,2,-9.824945,24.453371
310,Can't load mobile app to my iPad,2,16.628916,-2.0614779999999997
